,code,company
0,1109.HK,華潤置地
1,0941.HK,中國移動
2,0288.HK,萬洲國際
3,0012.HK,恆基地產
4,0003.HK,香港中華煤氣
5,0700.HK,騰訊控股
6,2628.HK,中國人壽
7,0267.HK,中信股份
8,0017.HK,新世界發展
9,2318.HK,中國平安
10,1044.HK,恆安國際
11,1038.HK,長江基建集團
12,2388.HK,中銀香港
13,1928.HK,金沙中國有限公司
14,0006.HK,電能實業
15,0016.HK,新鴻基地產
16,0083.HK,信和置業
17,1299.HK,友邦保險
18,0669.HK,創科實業
19,1093.HK,石藥集團
20,0101.HK,恆隆地產
21,0002.HK,中電控股
22,1398.HK,工商銀行
23,0011.HK,恆生銀行
24,2319.HK,蒙牛乳業
25,0027.HK,銀河娛樂
26,1997.HK,九龍倉置業
27,0386.HK,中國石油化工股份
28,0883.HK,中國海洋石油
29,2018.HK,瑞聲科技
